"miRNAPair","CancerTypes","Count"
"miR-511-5p/miR-196a-5p","CESC",1
"miR-511-5p/miR-32-5p","SKCM",1
"miR-511-5p/miR-584-5p","KICH",1
"miR-125b-5p/miR-556-5p","UCEC",1
"miR-125b-5p/miR-96-5p","THYM",1
"miR-512-3p/miR-149-3p","THYM",1
"miR-514a-3p/miR-1179","LGG",1
"miR-518a-5p/miR-15b-5p","THYM",1
"miR-125b-5p/miR-99a-3p","SARC",1
"miR-126-3p/miR-424-5p","STAD",1
"miR-126-5p/miR-17-5p","SARC",1
"miR-1269a/miR-20a-5p","LUAD",1
"miR-1269a/miR-548o-3p","TGCT",1
"miR-1269a/miR-92a-1-5p","TGCT",1
"miR-1270/miR-130a-3p","BLCA",1
"miR-1270/miR-296-3p","TGCT",1
"miR-1271-5p/miR-106a-5p","BLCA",1
"miR-1271-5p/miR-200b-3p","SKCM",1
"miR-1271-5p/miR-2355-5p","ESCA",1
"miR-1271-5p/miR-9-3p","SARC",1
"miR-1271-5p/miR-940","STAD",1
"miR-128-3p/miR-616-5p","THYM",1
"miR-1287-5p/let-7a-2-3p","SKCM",1
"miR-519a-5p/miR-223-5p","TGCT",1
"miR-519d-3p/miR-130a-3p","THYM",1
"miR-519d-3p/miR-497-3p","TGCT",1
"miR-1287-5p/miR-625-5p","CESC",1
"miR-129-2-3p/miR-103a-2-5p","PAAD",1
"miR-129-5p/miR-196a-5p","CESC",1
"miR-129-5p/miR-629-3p","STAD",1
"miR-1296-5p/miR-130b-5p","SARC",1
"miR-519d-3p/miR-526b-3p","TGCT",1
"miR-519d-3p/miR-642a-5p","TGCT",1
