"miRNA1","miRNA2","TF","hgnc_symbol_tf","Target","hgnc_symbol_target","ModeOfRegulation","TwoVar_mirna1_tf","TwoVar_mirna2_tf","mirna1mirna2_tf","TwoVar_mirna1_target","TwoVar_mirna2_target","mirna1mirna2_target","BH_pvalues_adjusted"
"hsa-mir-188-3p","hsa-mir-532-3p",7975,"MAFK",201134,"CEP112",1,0,0,0.0095,0.2005,0.034,0.0055,0.0296346862335748
"hsa-mir-130a-3p","hsa-mir-29b-1-5p",7764,"ZNF217",256987,"SERINC5",1,0.007,0.0035,0.008,0.2755,0.323,0.0065,0.0335242447396262
"hsa-mir-142-3p","hsa-mir-26b-3p",2099,"ESR1",284565,"NBPF15",1,0,0,0,0.181,0.083,0,0
"hsa-mir-18a-5p","hsa-mir-19b-3p",2099,"ESR1",284565,"NBPF15",1,0,0,0,0.1265,0.0825,0,0
"hsa-mir-142-3p","hsa-mir-301a-3p",2099,"ESR1",284565,"NBPF15",1,0,0,5e-04,0.1075,0.314,0.003,0.0187568934805842
"hsa-mir-17-5p","hsa-mir-18a-5p",2099,"ESR1",284565,"NBPF15",1,0,0,0,0.0775,0.02,5e-04,0.00438798879887988
"hsa-mir-142-3p","hsa-mir-19b-3p",2099,"ESR1",284565,"NBPF15",1,0,0,0,0.121,0.1055,0.007,0.0354222363185514
"hsa-mir-17-5p","hsa-mir-19b-3p",2099,"ESR1",284565,"NBPF15",1,0,0,0,0.077,0.0835,0.001,0.00786158394552947
"hsa-mir-142-3p","hsa-mir-301a-3p",2099,"ESR1",388677,"NOTCH2NLA",1,0,0,5e-04,0.022,0.028,0.0035,0.021134633911368
"hsa-mir-425-5p","hsa-mir-96-5p",6591,"SNAI2",642273,"FAM110C",-1,0.007,0,0.1525,0.259,0.2065,0.0025,0.0162755026337265
