miRNA1,miRNA2,TF,Target,ModeOfRegulation,TwoVar_mirna1_tf,TwoVar_mirna2_tf,mirna1mirna2_tf,TwoVar_mirna1_target,TwoVar_mirna2_target,mirna1mirna2_target,BH_rejected,BH_pvalues_adjusted
hsa-mir-20b-5p,hsa-mir-338-3p,4089,862,1,0.0005,0.0,0.0115,0.7315,0.0205,0.0095,True,0.037670603883406845
hsa-mir-27a-5p,hsa-mir-340-5p,4089,862,1,0.0,0.0,0.0005,0.1075,0.0245,0.0075,True,0.031661280952726745
hsa-mir-34a-5p,hsa-mir-486-5p,4089,862,1,0.0,0.006,0.0515,0.011,0.177,0.0065,True,0.028436460554371
hsa-mir-183-5p,hsa-mir-486-5p,4089,8945,-1,0.0,0.0085,0.144,0.0245,0.0305,0.0045,True,0.021664968944099378
hsa-mir-1976,hsa-mir-3913-5p,4150,23199,1,0.0,0.0,0.013,0.0175,0.717,0.0045,True,0.021664968944099378
hsa-mir-34a-5p,hsa-mir-532-3p,4152,26528,-1,0.0,0.0,0.0045,0.0835,0.0115,0.0065,True,0.028436460554371
hsa-mir-132-3p,hsa-mir-148a-3p,4205,135112,1,0.0,0.0,0.0,0.015,0.0155,0.0,True,0.0
hsa-mir-132-3p,hsa-mir-3065-3p,4205,135112,1,0.0,0.0,0.007,0.012,0.05,0.001,True,0.006677502105827398
hsa-mir-142-3p,hsa-mir-3065-3p,4205,135112,1,0.0,0.0,0.0,0.04,0.057,0.0005,True,0.0037510861616552676
hsa-mir-132-3p,hsa-mir-148a-3p,4205,143872,1,0.0,0.0,0.0,0.059,0.012,0.0005,True,0.0037510861616552676
hsa-mir-132-3p,hsa-mir-199a-3p,4205,143872,1,0.0,0.0,0.0,0.0695,0.028,0.0,True,0.0
hsa-mir-199a-3p,hsa-mir-21-3p,4205,143872,1,0.0,0.0,0.0285,0.0145,0.023,0.0015,True,0.00926164766692629
hsa-mir-199a-3p,hsa-mir-3913-5p,4205,143872,1,0.0,0.001,0.0105,0.0235,0.345,0.0025,True,0.013825707128361238
hsa-mir-21-3p,hsa-mir-3913-5p,4205,143872,1,0.0,0.0015,0.0085,0.0385,0.3295,0.0,True,0.0
