miRNA1,miRNA2,TF,Target,ModeOfRegulation,TwoVar_mirna1_tf,TwoVar_mirna2_tf,mirna1mirna2_tf,TwoVar_mirna1_target,TwoVar_mirna2_target,mirna1mirna2_target,BH_rejected,BH_pvalues_adjusted
hsa-mir-17-5p,hsa-mir-19a-3p,7764,8826,1,0.003,0.0,0.0,0.045,0.019,0.0085,True,0.04074752799781481
hsa-mir-188-3p,hsa-mir-532-3p,7975,201134,1,0.0,0.0,0.0095,0.2005,0.034,0.0055,True,0.029634686233574847
hsa-mir-505-5p,hsa-mir-532-3p,7975,201134,1,0.0,0.0,0.0035,0.238,0.0335,0.001,True,0.007861583945529476
hsa-mir-30a-5p,hsa-mir-590-3p,8202,23224,1,0.0,0.004,0.865,0.0755,0.023,0.0015,True,0.010942430792252059
hsa-mir-181c-5p,hsa-mir-181d-5p,8202,23389,1,0.0,0.0,0.0,0.183,0.059,0.0005,True,0.004387988798879888
hsa-mir-135b-5p,hsa-mir-19b-3p,860,23180,1,0.0,0.0,0.0135,0.228,0.022,0.0015,True,0.010942430792252059
hsa-mir-19b-3p,hsa-mir-505-5p,860,4322,1,0.0,0.004,0.0235,0.088,0.301,0.0015,True,0.010942430792252059
hsa-mir-19b-3p,hsa-mir-222-3p,860,51454,1,0.0,0.0025,0.0095,0.014,0.183,0.0015,True,0.010942430792252059
hsa-mir-19a-3p,hsa-mir-19b-3p,860,5305,1,0.0,0.0,0.0,0.0545,0.105,0.002,True,0.013749764963961141
hsa-mir-135b-5p,hsa-mir-19a-3p,860,5468,1,0.0,0.0,0.0025,0.039,0.0115,0.0045,True,0.025532102676839516
hsa-mir-135b-5p,hsa-mir-505-5p,860,5468,1,0.001,0.007,0.001,0.0365,0.026,0.0,True,0.0
hsa-mir-185-3p,hsa-mir-7-5p,861,79899,1,0.0,0.0,0.1475,0.015,0.046,0.009,True,0.04244646888100612
hsa-mir-651-5p,hsa-mir-7-5p,93986,6510,-1,0.0035,0.0,0.2205,0.408,0.0475,0.0,True,0.0
