"miRNA1","miRNA2","TF","hgnc_symbol_tf","Target","hgnc_symbol_target","ModeOfRegulation","TwoVar_mirna1_tf","TwoVar_mirna2_tf","mirna1mirna2_tf","TwoVar_mirna1_target","TwoVar_mirna2_target","mirna1mirna2_target","BH_pvalues_adjusted"
"hsa-mir-19a-3p","hsa-mir-335-3p",4782,"NFIC",3725,"JUN",1,0,0,0,0.023,0.4475,0.006,0.0160013148578942
"hsa-mir-210-3p","hsa-mir-550a-3p",4782,"NFIC",3725,"JUN",1,0,0,0,0.0615,0.059,0.001,0.00350499590136694
"hsa-mir-130a-3p","hsa-mir-192-5p",2099,"ESR1",3791,"KDR",1,0.001,0,0.1075,0.087,0.017,0.001,0.00350499590136694
"hsa-mir-133b","hsa-mir-145-5p",6667,"SP1",3880,"KRT19",1,5e-04,0.0025,5e-04,0.013,0.0665,0.004,0.0114075062191297
"hsa-mir-182-5p","hsa-mir-7-1-3p",6774,"STAT3",3929,"LBP",1,0,0,0,0.1175,0.062,0.006,0.0160013148578942
"hsa-mir-127-5p","hsa-mir-133b",6667,"SP1",3949,"LDLR",1,0.004,0.007,0.455,0.1915,0.048,5e-04,0.00189985829570563
"hsa-mir-16-2-3p","hsa-mir-625-5p",367,"AR",3977,"LIFR",1,0,0,0,0.0325,0.0315,0.007,0.0181534817389024
"hsa-mir-31-5p","hsa-mir-625-5p",367,"AR",3977,"LIFR",1,0,0,0,0.0815,0.0265,0,0
"hsa-mir-342-3p","hsa-mir-455-3p",5316,"PKNOX1",3987,"LIMS1",1,0,0.0035,0.002,0.0835,0.0215,5e-04,0.00189985829570563
"hsa-mir-377-3p","hsa-mir-455-3p",5316,"PKNOX1",3987,"LIMS1",1,0.008,5e-04,0.17,0.154,0.021,0.0055,0.0148742286192926
"hsa-mir-130b-3p","hsa-mir-19a-3p",1316,"KLF6",4000,"LMNA",1,0.005,0.0015,0.4085,0.0255,0.018,5e-04,0.00189985829570563
"hsa-mir-130b-3p","hsa-mir-17-5p",1316,"KLF6",4000,"LMNA",1,0.0055,0,0.013,0.0155,0.078,0,0
"hsa-mir-18a-3p","hsa-mir-200c-3p",1316,"KLF6",4000,"LMNA",1,0.0055,0.008,0.4725,0.3055,0.0835,0.002,0.00636012784176566
"hsa-mir-141-3p","hsa-mir-17-5p",1316,"KLF6",4000,"LMNA",1,0.0015,0,0.0545,0.0915,0.171,0.0015,0.00497708682885906
"hsa-mir-141-3p","hsa-mir-183-5p",1316,"KLF6",4000,"LMNA",1,0.003,0.0045,0.0705,0.129,0.028,0,0
"hsa-mir-130b-3p","hsa-mir-141-3p",1316,"KLF6",4000,"LMNA",1,0.009,0.003,0.032,0.014,0.119,0.008,0.0202732704352144
"hsa-mir-19a-3p","hsa-mir-20a-3p",1316,"KLF6",4000,"LMNA",1,0.0025,0.0025,0.309,0.015,0.111,0,0
"hsa-mir-141-3p","hsa-mir-19a-3p",1316,"KLF6",4000,"LMNA",1,0.0025,0.002,0.0775,0.122,0.011,0.008,0.0202732704352144
"hsa-mir-200c-3p","hsa-mir-20a-3p",1316,"KLF6",4000,"LMNA",1,0.005,0.003,0.2585,0.1025,0.1035,0,0
