"entrezgene_id","hgnc_symbol","mirna1","mirna2","Lancaster_XY_Z","is_mrna_tf","mirna1Literature","mirna2Literature","mrnaLiterature","miRNA1_mRNA_DB","miRNA2_mRNA_DB","BH_pvalues_adjusted","BH_rejected","miRNA1Family","miRNA2Family","miRNA1Cluster","miRNA2Cluster"
54989,"ZNF770","hsa-mir-183-5p","hsa-mir-30b-5p",0.0035,TRUE,NA,NA,NA,"tarbase","mirtarbase tarbase",0.291781690140845,FALSE,NA,"miR-30-5p","hsa-mir-182,hsa-mir-96,hsa-mir-183","hsa-mir-30b,hsa-mir-30d"
55183,"RIF1","hsa-mir-26b-3p","hsa-mir-628-3p",0.0045,FALSE,NA,NA,NA,"tarbase","tarbase",0.318988023952096,FALSE,"miR-26b-3p","miR-628-3p","hsa-mir-26b","hsa-mir-628"
55432,"YOD1","hsa-mir-221-3p","hsa-mir-651-5p",0.005,FALSE,NA,NA,NA,"mirtarbase","tarbase",0.32344262295082,FALSE,"miR-221-3p/222-3p","miR-651-5p","hsa-mir-221,hsa-mir-222","hsa-mir-651"
55556,"ENOSF1","hsa-mir-425-3p","hsa-mir-129-5p",0.0015,FALSE,NA,NA,NA,"tarbase","tarbase",0.224772151898734,FALSE,"miR-425-3p","miR-129-5p","hsa-mir-425,hsa-mir-191","hsa-mir-129-1"
56919,"DHX33","hsa-mir-193b-3p","hsa-mir-664a-3p",0.001,FALSE,NA,NA,NA,"tarbase","tarbase",0.187904761904762,FALSE,"miR-193-3p","miR-664a-3p","hsa-mir-193b,hsa-mir-365a","hsa-mir-664a"
57649,"PHF12","hsa-mir-939-5p","hsa-mir-181d-5p",0.002,FALSE,NA,NA,NA,"tarbase","tarbase",0.251872340425532,FALSE,"miR-939-5p/1343-5p","miR-181-5p","hsa-mir-939,hsa-mir-1234","hsa-mir-181c,hsa-mir-181d"
57674,"RNF213","hsa-mir-134-5p","hsa-mir-18b-5p",0.0085,FALSE,NA,NA,NA,"tarbase","tarbase",0.343683870967742,FALSE,"miR-134-5p","miR-18-5p","hsa-mir-381,hsa-mir-487b,hsa-mir-539,hsa-mir-889,hsa-mir-544a,hsa-mir-655,hsa-mir-487a,hsa-mir-382,hsa-mir-134,hsa-mir-668,hsa-mir-485,hsa-mir-323b,hsa-mir-154,hsa-mir-496,hsa-mir-377,hsa-mir-541","hsa-mir-363,hsa-mir-92a-2,hsa-mir-19b-2,hsa-mir-20b,hsa-mir-18b,hsa-mir-106a"
57674,"RNF213","hsa-mir-17-5p","hsa-mir-17-3p",0.0035,FALSE,NA,NA,NA,"tarbase","tarbase",0.291781690140845,FALSE,"miR-17-5p/20-5p/93-5p/106-5p/519-3p","miR-17-3p","hsa-mir-17,hsa-mir-18a,hsa-mir-19a,hsa-mir-20a,hsa-mir-19b-1,hsa-mir-92a-1","hsa-mir-17,hsa-mir-18a,hsa-mir-19a,hsa-mir-20a,hsa-mir-19b-1,hsa-mir-92a-1"
57700,"FAM160B1","hsa-mir-320b","hsa-mir-133a-3p",5e-04,FALSE,NA,NA,NA,"tarbase","mirtarbase tarbase",0.134522727272727,FALSE,"miR-320",NA,"hsa-mir-320b-1","hsa-mir-133a-1,hsa-mir-1-2"
64282,"TENT4B","hsa-mir-193b-5p","hsa-mir-129-5p",0.0015,FALSE,NA,NA,NA,"tarbase","mirtarbase",0.224772151898734,FALSE,"miR-193b-5p","miR-129-5p","hsa-mir-193b,hsa-mir-365a","hsa-mir-129-1"
