"entrezgene_id","hgnc_symbol","mirna1","mirna2","Lancaster_XY_Z","is_mrna_tf","mirna1Literature","mirna2Literature","mrnaLiterature","miRNA1_mRNA_DB","miRNA2_mRNA_DB","BH_pvalues_adjusted","BH_rejected","miRNA1Family","miRNA2Family","miRNA1Cluster","miRNA2Cluster"
80255,"SLC35F5","hsa-mir-3199","hsa-mir-106a-5p",0.007,FALSE,NA,NA,NA,"mirtarbase","mirtarbase tarbase",0.321473267326733,FALSE,"miR-3199/8052","miR-17-5p/20-5p/93-5p/106-5p/519-3p","hsa-mir-3199-1,hsa-mir-3199-2","hsa-mir-363,hsa-mir-92a-2,hsa-mir-19b-2,hsa-mir-20b,hsa-mir-18b,hsa-mir-106a"
80255,"SLC35F5","hsa-mir-545-5p","hsa-mir-106a-5p",0.007,FALSE,NA,NA,NA,"mirtarbase","mirtarbase tarbase",0.321473267326733,FALSE,"miR-545-5p","miR-17-5p/20-5p/93-5p/106-5p/519-3p","hsa-mir-545,hsa-mir-374a","hsa-mir-363,hsa-mir-92a-2,hsa-mir-19b-2,hsa-mir-20b,hsa-mir-18b,hsa-mir-106a"
80315,"CPEB4","hsa-mir-16-2-3p","hsa-mir-130b-5p",0.0035,FALSE,NA,NA,NA,"tarbase","tarbase",0.258509554140127,FALSE,"miR-16-2-3p/195-3p","miR-130b-5p","hsa-mir-15b,hsa-mir-16-2","hsa-mir-301b,hsa-mir-130b"
80315,"CPEB4","hsa-mir-16-2-3p","hsa-mir-550a-5p",0.008,FALSE,NA,NA,NA,"tarbase","mirtarbase",0.331314285714286,FALSE,"miR-16-2-3p/195-3p","miR-550a-3-5p/550a-5p/1271-3p","hsa-mir-15b,hsa-mir-16-2","hsa-mir-550a-1,hsa-mir-550b-1"
80315,"CPEB4","hsa-mir-21-3p","hsa-mir-224-5p",0.0015,FALSE,NA,NA,NA,"tarbase","tarbase",0.193266666666667,FALSE,"miR-21-3p/3591-3p","miR-224-5p","hsa-mir-21","hsa-mir-224,hsa-mir-452"
80315,"CPEB4","hsa-mir-363-3p","hsa-mir-301b-3p",0.0025,FALSE,NA,NA,NA,"mirtarbase","tarbase",0.230996015936255,FALSE,"miR-25-3p/32-5p/92-3p/363-3p/367-3p","miR-130-3p/301-3p/454-3p","hsa-mir-363,hsa-mir-92a-2,hsa-mir-19b-2,hsa-mir-20b,hsa-mir-18b,hsa-mir-106a","hsa-mir-301b,hsa-mir-130b"
80704,"SLC19A3","hsa-mir-548v","hsa-mir-616-5p",5e-04,FALSE,NA,NA,NA,"mirtarbase","mirtarbase",0.1115,FALSE,"miR-548v","miR-371b-5p/373-5p/616-5p","hsa-mir-548v","hsa-mir-616"
81706,"PPP1R14C","hsa-mir-221-3p","hsa-mir-497-5p",0.0075,FALSE,NA,NA,NA,"mirtarbase","tarbase",0.327570621468927,FALSE,"miR-221-3p/222-3p","miR-15-5p/16-5p/195-5p/424-5p/497-5p","hsa-mir-221,hsa-mir-222","hsa-mir-195,hsa-mir-497"
81848,"SPRY4","hsa-mir-940","hsa-mir-548v",5e-04,FALSE,NA,NA,NA,"tarbase","mirtarbase",0.1115,FALSE,"miR-940/6808-5p/6893-5p","miR-548v","hsa-mir-3677,hsa-mir-940,hsa-mir-4717","hsa-mir-548v"
84159,"ARID5B","hsa-mir-513a-5p","hsa-mir-33a-5p",0.007,TRUE,NA,NA,NA,"tarbase","mirtarbase tarbase",0.321473267326733,FALSE,"miR-513a-5p","miR-33-5p","hsa-mir-513a-1","hsa-mir-33a"
84159,"ARID5B","hsa-mir-942-5p","hsa-mir-676-3p",0,TRUE,NA,NA,NA,"tarbase","tarbase",0,TRUE,"miR-942-5p","miR-676-3p","hsa-mir-942","hsa-mir-676"
84162,"KIAA1109","hsa-mir-301a-3p","hsa-mir-301b-3p",0.0015,FALSE,NA,NA,NA,"tarbase","tarbase",0.193266666666667,FALSE,"miR-130-3p/301-3p/454-3p","miR-130-3p/301-3p/454-3p","hsa-mir-301a","hsa-mir-301b,hsa-mir-130b"
84191,"CIAO2A","hsa-mir-181c-5p","hsa-mir-181d-5p",0,FALSE,NA,NA,NA,"mirtarbase","mirtarbase",0,TRUE,"miR-181-5p","miR-181-5p","hsa-mir-181c,hsa-mir-181d","hsa-mir-181c,hsa-mir-181d"
84285,"EIF1AD","hsa-mir-509-3p","hsa-mir-224-5p",0.008,FALSE,NA,NA,NA,"mirtarbase","tarbase",0.331314285714286,FALSE,"miR-509-3p","miR-224-5p","hsa-mir-509-2,hsa-mir-509-3,hsa-mir-509-1","hsa-mir-224,hsa-mir-452"
84301,"DDI2","hsa-mir-10a-5p","hsa-mir-125b-5p",0.0085,FALSE,NA,NA,NA,"tarbase","tarbase",0.331314285714286,FALSE,"miR-10-5p","miR-125-5p","hsa-mir-10a","hsa-mir-125b-1"
84451,"MAP3K21","hsa-mir-218-5p","hsa-mir-130b-5p",0.0055,FALSE,NA,NA,NA,"mirtarbase tarbase","tarbase",0.304429594272076,FALSE,"miR-218-5p","miR-130b-5p","hsa-mir-218-1","hsa-mir-301b,hsa-mir-130b"
84522,"JAGN1","hsa-mir-192-5p","hsa-mir-34b-3p",0.008,FALSE,NA,NA,NA,"tarbase","mirtarbase",0.331314285714286,FALSE,"miR-192-5p/215-5p","miR-34b-3p","hsa-mir-192,hsa-mir-194-2","hsa-mir-34b,hsa-mir-34c"
84679,"SLC9A7","hsa-mir-214-5p","hsa-mir-335-5p",0.0085,FALSE,NA,NA,NA,"tarbase","mirtarbase tarbase",0.331314285714286,FALSE,"miR-214-5p","miR-335-5p","hsa-mir-214,hsa-mir-3120,hsa-mir-199a-2","hsa-mir-335"
85463,"ZC3H12C","hsa-mir-497-5p","hsa-mir-33a-5p",0.004,FALSE,NA,NA,NA,"tarbase","mirtarbase",0.266574712643678,FALSE,"miR-15-5p/16-5p/195-5p/424-5p/497-5p","miR-33-5p","hsa-mir-195,hsa-mir-497","hsa-mir-33a"
